strategy_name,candidate_family,presentation_role,cost_bps,CAGR_pct_before_cost,avg_turnover_pct,annual_cost_drag_pct_est,CAGR_pct_after_cost_est,cost_note
EW,benchmark,단순 비교 기준,0,6.510061939431955,0.0,0.0,6.510061939431955,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
EW,benchmark,단순 비교 기준,5,6.510061939431955,0.0,0.0,6.510061939431955,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
EW,benchmark,단순 비교 기준,10,6.510061939431955,0.0,0.0,6.510061939431955,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
EW,benchmark,단순 비교 기준,20,6.510061939431955,0.0,0.0,6.510061939431955,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
EW,benchmark,단순 비교 기준,30,6.510061939431955,0.0,0.0,6.510061939431955,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_final_baseline_overlay,baseline,즉시비중 baseline,0,7.732321577748946,22.093023255813957,0.0,7.732321577748946,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_final_baseline_overlay,baseline,즉시비중 baseline,5,7.732321577748946,22.093023255813957,0.13255813953488374,7.599763438214063,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_final_baseline_overlay,baseline,즉시비중 baseline,10,7.732321577748946,22.093023255813957,0.2651162790697675,7.467205298679179,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_final_baseline_overlay,baseline,즉시비중 baseline,20,7.732321577748946,22.093023255813957,0.530232558139535,7.202089019609411,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_final_baseline_overlay,baseline,즉시비중 baseline,30,7.732321577748946,22.093023255813957,0.7953488372093025,6.936972740539644,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.1,lambda_partial_adjustment,느린 부분조정 후보,0,8.65511461758417,2.515008210776587,0.0,8.65511461758417,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.1,lambda_partial_adjustment,느린 부분조정 후보,5,8.65511461758417,2.515008210776587,0.015090049264659525,8.640024568319511,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.1,lambda_partial_adjustment,느린 부분조정 후보,10,8.65511461758417,2.515008210776587,0.03018009852931905,8.62493451905485,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.1,lambda_partial_adjustment,느린 부분조정 후보,20,8.65511461758417,2.515008210776587,0.0603601970586381,8.59475442052553,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.1,lambda_partial_adjustment,느린 부분조정 후보,30,8.65511461758417,2.515008210776587,0.09054029558795715,8.564574321996213,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.3,lambda_partial_adjustment,균형형 부분조정 후보,0,9.085171513870293,6.949680986908531,0.0,9.085171513870293,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.3,lambda_partial_adjustment,균형형 부분조정 후보,5,9.085171513870293,6.949680986908531,0.04169808592145119,9.043473427948841,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.3,lambda_partial_adjustment,균형형 부분조정 후보,10,9.085171513870293,6.949680986908531,0.08339617184290238,9.00177534202739,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.3,lambda_partial_adjustment,균형형 부분조정 후보,20,9.085171513870293,6.949680986908531,0.16679234368580476,8.918379170184489,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.3,lambda_partial_adjustment,균형형 부분조정 후보,30,9.085171513870293,6.949680986908531,0.25018851552870713,8.834982998341586,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.5,lambda_partial_adjustment,중간 부분조정 후보,0,8.577336332356778,11.137830846511523,0.0,8.577336332356778,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.5,lambda_partial_adjustment,중간 부분조정 후보,5,8.577336332356778,11.137830846511523,0.06682698507906913,8.510509347277708,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.5,lambda_partial_adjustment,중간 부분조정 후보,10,8.577336332356778,11.137830846511523,0.13365397015813826,8.44368236219864,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.5,lambda_partial_adjustment,중간 부분조정 후보,20,8.577336332356778,11.137830846511523,0.2673079403162765,8.3100283920405,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.5,lambda_partial_adjustment,중간 부분조정 후보,30,8.577336332356778,11.137830846511523,0.4009619104744149,8.176374421882363,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.7,lambda_partial_adjustment,빠른 부분조정 후보,0,8.06464986717559,15.406102775785376,0.0,8.06464986717559,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.7,lambda_partial_adjustment,빠른 부분조정 후보,5,8.06464986717559,15.406102775785376,0.09243661665471227,7.972213250520877,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.7,lambda_partial_adjustment,빠른 부분조정 후보,10,8.06464986717559,15.406102775785376,0.18487323330942454,7.879776633866165,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.7,lambda_partial_adjustment,빠른 부분조정 후보,20,8.06464986717559,15.406102775785376,0.3697464666188491,7.69490340055674,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_0.7,lambda_partial_adjustment,빠른 부분조정 후보,30,8.06464986717559,15.406102775785376,0.5546196999282735,7.510030167247316,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_1.0,lambda_partial_adjustment,즉시이동 기준,0,7.732321577748946,22.093023255813957,0.0,7.732321577748946,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_1.0,lambda_partial_adjustment,즉시이동 기준,5,7.732321577748946,22.093023255813957,0.13255813953488374,7.599763438214063,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_1.0,lambda_partial_adjustment,즉시이동 기준,10,7.732321577748946,22.093023255813957,0.2651162790697675,7.467205298679179,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_1.0,lambda_partial_adjustment,즉시이동 기준,20,7.732321577748946,22.093023255813957,0.530232558139535,7.202089019609411,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
lambda_1.0,lambda_partial_adjustment,즉시이동 기준,30,7.732321577748946,22.093023255813957,0.7953488372093025,6.936972740539644,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_event_balance_filter_overlay,event_balance_filter,사건균형 보조 필터,0,7.137229874010087,21.918604651162788,0.0,7.137229874010087,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_event_balance_filter_overlay,event_balance_filter,사건균형 보조 필터,5,7.137229874010087,21.918604651162788,0.1315116279069767,7.00571824610311,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_event_balance_filter_overlay,event_balance_filter,사건균형 보조 필터,10,7.137229874010087,21.918604651162788,0.2630232558139534,6.874206618196133,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_event_balance_filter_overlay,event_balance_filter,사건균형 보조 필터,20,7.137229874010087,21.918604651162788,0.5260465116279068,6.61118336238218,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
HSI_event_balance_filter_overlay,event_balance_filter,사건균형 보조 필터,30,7.137229874010087,21.918604651162788,0.7890697674418604,6.348160106568226,단순 비용 민감도이며 정밀 거래비용 백테스트가 아니다.
