candidate_family,presentation_role,strategy_name,lambda_value,months,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,Sharpe,Sortino,Calmar,WinRate_pct,avg_turnover_pct,max_turnover_pct,total_turnover_pct,nonzero_turnover_months,CAGR_vs_baseline_pct,MDD_vs_baseline_pct,vol_vs_baseline_pct,turnover_vs_baseline_pct,CAGR_vs_EW_pct,MDD_vs_EW_pct,Sharpe_vs_EW,goldfriend_judgement,goldfriend_note,source_group,source_file
benchmark,단순 비교 기준,EW,,172,2.4694437257892248,6.510061939431955,7.97233104941412,-13.571143569546962,0.8317791325459929,1.5383921387649833,0.4796988482267804,60.46511627906976,0.0,0.0,0.0,0,-1.2222596383169915,9.888274700221455,-5.693737989159188,-22.093023255813957,0.0,0.0,0.0,benchmark_only,단순 동일가중 비교 기준이다.,theta,main_final_theta_performance_summary.csv
baseline,즉시비중 baseline,HSI_final_baseline_overlay,1.0,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744,22.093023255813957,70.0,3800.0,94,0.0,0.0,0.0,0.0,1.2222596383169915,-9.888274700221455,-0.2206615724144706,baseline_not_final,"HSI 상태를 비중으로 연결하는 기준선이지만, 즉시비중 구조로 인해 MDD와 Turnover 부담이 커 최종 전략으로 단정하지 않는다.",event_filter,main_final_event_balance_filter_performance_summary.csv
lambda_partial_adjustment,느린 부분조정 후보,lambda_0.1,0.1,172,3.2863904844570078,8.65511461758417,11.258048656511953,-14.744158471123846,0.7934711329195613,1.5753750671052211,0.5870199126342169,59.30232558139535,2.515008210776587,6.017064080993283,432.581412253573,171,0.9227930398352235,8.71525979864457,-2.4080203820613555,-19.57801504503737,2.145052678152215,-1.1730149015768845,-0.03830799962643161,primary_review_candidate,MDD와 Turnover 완화가 강한 느린 조정 후보이다. 수익성 둔화 여부를 함께 본다.,lambda,main_final_lambda_performance_summary.csv
lambda_partial_adjustment,균형형 부분조정 후보,lambda_0.3,0.3,172,3.477832296815674,9.085171513870293,12.048560174964717,-15.219711332556995,0.7817903292508775,1.41169704844316,0.5969345485834477,60.46511627906976,6.949680986908531,20.011915215340103,1195.3451297482673,171,1.3528499361213466,8.239706937211421,-1.6175088636085917,-15.143342268905426,2.575109574438338,-1.6485677630100337,-0.04998880329511535,primary_review_candidate,"CAGR, MDD, Turnover 균형이 비교적 좋아 우선 검토 후보로 둔다. 최적값으로 단정하지 않는다.",lambda,main_final_lambda_performance_summary.csv
lambda_partial_adjustment,중간 부분조정 후보,lambda_0.5,0.5,172,3.2528319351936634,8.577336332356778,12.200406026749356,-17.51927764825414,0.7353042946562626,1.1983196328946948,0.4895941776007837,61.627906976744185,11.137830846511523,34.829866624930794,1915.706905599982,171,0.8450147546078313,5.940140621514278,-1.4656630118239526,-10.955192409302434,2.0672743929248227,-3.9481340787071773,-0.09647483788973032,secondary_review_candidate,즉시비중과 느린 조정 사이의 중간 후보이다.,lambda,main_final_lambda_performance_summary.csv
lambda_partial_adjustment,빠른 부분조정 후보,lambda_0.7,0.7,172,3.039477921176757,8.06464986717559,12.511137708926254,-19.964589909007124,0.6819081228704503,1.048237181794363,0.4039476845721324,61.627906976744185,15.406102775785376,48.989780742977885,2649.8496774350847,171,0.33232828942664305,3.494828360761293,-1.154931329647054,-6.686920480028581,1.5545879277436345,-6.393446339460162,-0.14987100967554257,lambda_observation,부분조정 효과는 있으나 Turnover 부담이 남아 있는 빠른 조정 후보이다.,lambda,main_final_lambda_performance_summary.csv
lambda_partial_adjustment,즉시이동 기준,lambda_1.0,1.0,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744,22.093023255813957,70.0,3800.0,103,0.0,0.0,0.0,0.0,1.2222596383169915,-9.888274700221455,-0.2206615724144706,lambda_observation,후속 검토 대상이다.,lambda,main_final_lambda_performance_summary.csv
event_balance_filter,사건균형 보조 필터,HSI_event_balance_filter_overlay,,172,2.686246863484344,7.137229874010087,12.826857350314397,-23.03557291487499,0.5999935643064183,0.9143644325867,0.3098351363078663,65.11627906976744,21.918604651162788,75.0,3770.0,114,-0.5950917037388592,0.4238453548934267,-0.8392116882589118,-0.17441860465116932,0.6271679345781322,-9.464429345328028,-0.23178556823957464,diagnostic_filter_candidate,사건균형 필터는 실제 작동했으나 개선 폭이 제한적이므로 진단·보조 후보로 해석한다.,event_filter,main_final_event_balance_filter_performance_summary.csv
signal_combo,신호 조합 진단,combo_00_core5,,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744,22.093023255813957,70.0,3800.0,94,0.0,0.0,0.0,0.0,1.2222596383169915,-9.888274700221455,-0.2206615724144706,combo_diagnostic_only,"신호 조합 변화에 따른 상태분포, 성과, MDD, Turnover 안정성을 보기 위한 진단 후보이다.",signal_combo,main_final_signal_combo_performance_summary.csv
signal_combo,신호 조합 진단,combo_01_core4_no_rs,,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744,22.093023255813957,70.0,3800.0,94,0.0,0.0,0.0,0.0,1.2222596383169915,-9.888274700221455,-0.2206615724144706,combo_diagnostic_only,"신호 조합 변화에 따른 상태분포, 성과, MDD, Turnover 안정성을 보기 위한 진단 후보이다.",signal_combo,main_final_signal_combo_performance_summary.csv
signal_combo,신호 조합 진단,combo_02_trend_only,,172,3.239019345866537,8.545106005908654,13.626128113818153,-20.90099361895191,0.6680303385312545,1.041085753338786,0.4088373099238882,63.95348837209303,20.668604651162788,70.0,3554.9999999999995,90,0.8127844281597074,2.558424650816505,-0.03994092475515565,-1.4244186046511693,2.035044066476699,-7.32985004940495,-0.1637487940147384,combo_observation_candidate,"신호 조합 변화에 따른 상태분포, 성과, MDD, Turnover 안정성을 보기 위한 진단 후보이다.",signal_combo,main_final_signal_combo_performance_summary.csv
signal_combo,신호 조합 진단,combo_03_risk_damage_focus,,172,2.4732492666700425,6.52150519513901,13.650058820627548,-26.72425126218131,0.5285171960615638,0.7959362486956456,0.2440294821044392,62.7906976744186,25.523255813953483,70.0,4389.999999999999,109,-1.210816382609936,-3.2648329924128916,-0.01601021794576063,3.430232558139526,0.0114432557070554,-13.153107692634347,-0.3032619364844291,combo_diagnostic_only,"신호 조합 변화에 따른 상태분포, 성과, MDD, Turnover 안정성을 보기 위한 진단 후보이다.",signal_combo,main_final_signal_combo_performance_summary.csv
signal_combo,신호 조합 진단,combo_04_core5_plus_relative_speed,,172,2.8952239651851497,7.698680785469203,13.407004994782154,-19.86449726327329,0.6178568160322556,1.0396555348422427,0.3875598100186004,62.7906976744186,21.01744186046512,70.0,3615.0,104,-0.03364079227974326,3.5949210064951274,-0.2590640437911542,-1.0755813953488378,1.1886188460372482,-6.293353693726328,-0.21392231651373728,combo_diagnostic_only,"신호 조합 변화에 따른 상태분포, 성과, MDD, Turnover 안정성을 보기 위한 진단 후보이다.",signal_combo,main_final_signal_combo_performance_summary.csv
theta_sensitivity,θ 민감도 진단,theta_0.10,,172,2.820525307747328,7.502452510254631,13.615311169709264,-21.71980823146128,0.5971819718804593,0.888535891089623,0.3454198319940634,65.11627906976744,23.139534883720927,70.0,3980.0,94,-0.2298690674943149,1.7396100383071378,-0.05075786886404465,1.0465116279069697,0.9923905708226766,-8.148664661914317,-0.2345971606655336,sensitivity_diagnostic_only,후속 검토 대상이다.,theta,main_final_theta_performance_summary.csv
theta_sensitivity,θ 민감도 진단,theta_0.15,,172,2.908213386185535,7.732321577748946,13.666069038573308,-23.459418269768417,0.6111175601315223,0.9502180262896346,0.3296041482713747,65.11627906976744,22.093023255813957,70.0,3800.0,94,0.0,0.0,0.0,0.0,1.2222596383169915,-9.888274700221455,-0.2206615724144706,sensitivity_diagnostic_only,후속 검토 대상이다.,theta,main_final_theta_performance_summary.csv
theta_sensitivity,θ 민감도 진단,theta_0.20,,172,2.901644445695067,7.715326444932247,13.350814315839989,-20.24284375184752,0.6210423897566812,1.0501264127041967,0.3811384674758499,62.7906976744186,22.38372093023256,70.0,3850.0,106,-0.01699513281669951,3.216574517920897,-0.3152547227333198,0.2906976744186025,1.205264505500292,-6.671700182300558,-0.21073674278931165,sensitivity_diagnostic_only,후속 검토 대상이다.,theta,main_final_theta_performance_summary.csv
theta_sensitivity,θ 민감도 진단,theta_0.25,,172,2.797997160308501,7.442323318350352,12.888961289096684,-20.82324737557226,0.6194425047944131,1.0250261251331556,0.3574045481052555,61.627906976744185,20.261627906976734,70.0,3484.9999999999995,106,-0.2899982593985939,2.6361708941961552,-0.7771077494766239,-1.8313953488372228,0.9322613789183976,-7.2521038060253,-0.2123366277515798,sensitivity_diagnostic_only,후속 검토 대상이다.,theta,main_final_theta_performance_summary.csv
theta_sensitivity,θ 민감도 진단,theta_0.30,,172,2.9099432383560657,7.736791103230978,12.917407181336417,-20.82324737557224,0.6396683119542853,1.0795995993925769,0.3715458479500662,61.04651162790697,16.918604651162788,70.0,2910.0,91,0.0044695254820315,2.6361708941961766,-0.7486618572368915,-5.174418604651169,1.226729163799023,-7.2521038060252785,-0.1921108205917076,sensitivity_diagnostic_only,후속 검토 대상이다.,theta,main_final_theta_performance_summary.csv
