year_month,hsi_state,state_kr,hsi_direction,state_valid,macro_data_available,gdp_data_available,rate_level,rate_change_1m,usdkrw,usdkrw_return_1m,gdp_growth_pct_lagged,gdp_growth_band,rate_fx_departure,rate_fx_risk_departure_flag,rate_fx_relief_departure_flag,policy_growth_pressure_flag,macro_defense_addon,macro_companion_regime_filled,hsi_risk_flag,macro_risk_flag,hsi_macro_overlap_type
2013-06,accident_zone,강한 위험 구간,0.5572577497098989,True,0,0,,,,,,,,,,,0.0,macro_data_unavailable,1,0,macro_data_unavailable
2014-01,risk_warning,위험 악화 우세,0.2171707668090526,True,1,0,2.88,,1079.2,,,,0.0,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2014-04,risk_relief,위험 완화 우세,-0.042675892490715,True,1,1,2.873,0.0030000000000001,1031.7,-0.0347118263473053,-6.93501284184708,contraction_below_0,0.0,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2014-09,accident_zone,강한 위험 구간,0.193083899983285,True,1,1,2.297,-0.2139999999999999,1050.6,0.0365035516969216,5.22789567373056,strong_above_3,0.0,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2014-10,accident_zone,강한 위험 구간,0.2933740862369918,True,1,1,2.138,-0.1590000000000002,1054.0,0.0032362459546926,-0.60566306576069,contraction_below_0,0.0,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2014-11,risk_relief,위험 완화 우세,-0.0939076007844749,True,1,1,2.074,-0.064,1101.1,0.0446869070208728,-0.60566306576069,contraction_below_0,0.0,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2014-12,risk_warning,위험 악화 우세,0.2139829302647789,True,1,1,2.099,0.0250000000000003,1098.2,-0.002633729906457,-0.60566306576069,contraction_below_0,0.0,0.0,0.0,1.0,0.01,policy_growth_pressure,1,1,both_hsi_and_macro_risk
2015-02,risk_relief,위험 완화 우세,-0.2036221086337012,True,1,1,2.034,0.0639999999999998,1099.2,0.0077007700770077,5.39763653067322,strong_above_3,0.9999999995038517,1.0,0.0,0.0,0.01,rate_fx_risk_departure,0,1,macro_risk_only
2015-04,risk_relief,위험 완화 우세,-0.4568921078045211,True,1,1,1.843,0.1219999999999998,1068.1,-0.0333936651583711,-6.870466040766559,contraction_below_0,0.036017360011529,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2015-05,risk_warning,위험 악화 우세,0.193740913446028,True,1,1,1.745,-0.0979999999999998,1108.0,0.0373560528040446,-6.870466040766559,contraction_below_0,0.7556191206885773,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2015-06,neutral_watch,중립 관찰,0.0937720081625135,True,1,1,1.793,0.0479999999999998,1124.1,0.0145306859205776,-6.870466040766559,contraction_below_0,0.9999999993834108,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2015-07,accident_zone,강한 위험 구간,0.452979202049314,True,1,1,1.768,-0.0249999999999999,1166.3,0.0375411440263322,4.47472922989822,strong_above_3,0.9999999994825352,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2015-08,accident_zone,강한 위험 구간,0.540239314605773,True,1,1,1.735,-0.0329999999999999,1176.3,0.0085741232958929,4.47472922989822,strong_above_3,0.9999999977172382,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2015-09,risk_warning,위험 악화 우세,0.1619513587650515,True,1,1,1.568,-0.167,1194.5,0.0154722434753038,4.47472922989822,strong_above_3,0.3517255014143454,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2015-10,risk_relief,위험 완화 우세,-0.3112474560150506,True,1,1,1.657,0.0889999999999999,1142.3,-0.0437002930096275,0.8878540497087899,slowdown_0_to_2,0.2149977995481432,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2015-11,risk_warning,위험 악화 우세,0.100989613756827,True,1,1,1.785,0.1279999999999999,1150.4,0.0070909568414603,0.8878540497087899,slowdown_0_to_2,0.9999999994681718,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,1,1,both_hsi_and_macro_risk
2015-12,neutral_watch,중립 관찰,0.0588279521768391,True,1,1,1.662,-0.123,1167.7,0.0150382475660639,0.8878540497087899,slowdown_0_to_2,0.1154765367315236,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2016-01,accident_zone,강한 위험 구간,0.3278538710647015,True,1,1,1.564,-0.0979999999999998,1208.4,0.0348548428534727,5.5320278840901205,strong_above_3,0.5450847897126258,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2016-03,risk_relief,위험 완화 우세,-0.3645033817091541,True,1,1,1.444,-0.01,1153.5,-0.0662943176299175,5.5320278840901205,strong_above_3,0.7561214298063588,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2016-04,risk_relief,위험 완화 우세,-0.1426820660455692,True,1,1,1.453,0.0090000000000001,1143.9,-0.0083224967490246,-7.40087126920366,contraction_below_0,0.1765184482938349,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2016-05,risk_relief,위험 완화 우세,-0.1860044192776616,True,1,1,1.496,0.0429999999999999,1190.6,0.0408252469621468,-7.40087126920366,contraction_below_0,0.9999999995794044,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2016-07,risk_relief,위험 완화 우세,-0.2839857343857208,True,1,1,1.216,-0.0310000000000001,1125.7,-0.033485017601099,5.33831564573918,strong_above_3,0.7107696275330737,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2016-10,neutral_watch,중립 관찰,0.0180290940905408,True,1,1,1.438,0.1909999999999998,1145.2,0.0446045790385845,0.0587395855874799,slowdown_0_to_2,0.9999999997445652,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2016-11,neutral_watch,중립 관찰,0.0226543142498778,True,1,1,1.71,0.272,1168.5,0.0203457911281872,0.0587395855874799,slowdown_0_to_2,0.9999999997101504,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2016-12,risk_relief,위험 완화 우세,-0.3259828394280359,True,1,1,1.638,-0.072,1207.6,0.0334617030380828,0.0587395855874799,slowdown_0_to_2,0.5822561352214246,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2017-04,risk_relief,위험 완화 우세,-0.3612339436320817,True,1,1,1.675,0.0130000000000001,1130.1,0.0125436788818207,-6.84646858850557,contraction_below_0,0.9999999987109504,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2017-06,risk_relief,위험 완화 우세,-0.2729952664151273,True,1,1,1.698,0.0369999999999999,1139.6,0.0139692143429128,-6.84646858850557,contraction_below_0,0.99999999897012,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2017-08,accident_zone,강한 위험 구간,0.3493143879699097,True,1,1,1.747,0.0230000000000001,1122.8,0.0033062282191047,4.87217346341029,strong_above_3,0.9999999974802588,1.0,0.0,0.0,0.01,rate_fx_risk_departure,1,1,both_hsi_and_macro_risk
2017-09,neutral_watch,중립 관찰,0.035180628249891,True,1,1,1.888,0.1409999999999998,1146.7,0.0212860705379409,4.87217346341029,strong_above_3,0.9999999995066092,1.0,0.0,0.0,0.01,rate_fx_risk_departure,0,1,macro_risk_only
2017-10,risk_relief,위험 완화 우세,-0.2069167507499556,True,1,1,2.164,0.2760000000000002,1125.0,-0.018923868492195,1.12264349905708,slowdown_0_to_2,0.5064056102922899,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2017-11,accident_zone,강한 위험 구간,0.436195800848934,True,1,1,2.075,-0.0889999999999999,1082.4,-0.0378666666666666,1.12264349905708,slowdown_0_to_2,0.999999999544985,0.0,1.0,0.0,0.0,rate_fx_relief_departure,1,0,hsi_risk_only
2017-12,accident_zone,강한 위험 구간,0.4557957708344876,True,1,1,2.134,0.0589999999999997,1075.2,-0.0066518847006652,1.12264349905708,slowdown_0_to_2,0.3256792440483088,0.0,0.0,1.0,0.01,policy_growth_pressure,1,1,both_hsi_and_macro_risk
2018-01,risk_warning,위험 악화 우세,0.2045257057725332,True,1,1,2.274,0.1400000000000001,1071.5,-0.0034412202380952,4.43922215306262,strong_above_3,0.8079223983231799,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2018-02,accident_zone,강한 위험 구간,0.7345704476223242,True,1,1,2.266,-0.008,1071.0,-0.0004666355576294,4.43922215306262,strong_above_3,0.9999999930731804,0.0,1.0,0.0,0.0,rate_fx_relief_departure,1,0,hsi_risk_only
2018-03,accident_zone,강한 위험 구간,0.3300648140186547,True,1,1,2.216,-0.0499999999999998,1066.5,-0.0042016806722688,4.43922215306262,strong_above_3,0.9999999983258948,0.0,1.0,0.0,0.0,rate_fx_relief_departure,1,0,hsi_risk_only
2018-04,neutral_watch,중립 관찰,0.0772147163860764,True,1,1,2.216,0.0,1076.2,0.0090951711204876,-6.82103710505213,contraction_below_0,0.4914674737548559,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2018-05,accident_zone,강한 위험 구간,0.3152374308203876,True,1,1,2.195,-0.0210000000000003,1081.3,0.0047388961159635,-6.82103710505213,contraction_below_0,0.2840686979375713,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2018-06,accident_zone,강한 위험 구간,0.3885436425915757,True,1,1,2.122,-0.0729999999999999,1121.7,0.0373624341070935,-6.82103710505213,contraction_below_0,0.3034454532027216,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2018-08,risk_relief,위험 완화 우세,-0.0689274269532604,True,1,1,1.916,-0.2070000000000003,1108.8,-0.0070744156890839,5.01536181090842,strong_above_3,0.9999999995503172,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2018-09,neutral_watch,중립 관찰,-0.094367610442906,True,1,1,2.005,0.0889999999999999,1112.7,0.003517316017316,5.01536181090842,strong_above_3,0.9999999989123368,1.0,0.0,0.0,0.01,rate_fx_risk_departure,0,1,macro_risk_only
2018-10,accident_zone,강한 위험 구간,0.7573263198072627,True,1,1,1.939,-0.0659999999999998,1140.6,0.0250741439741168,0.39349204575445,slowdown_0_to_2,0.2036232816606425,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2018-12,risk_warning,위험 악화 우세,0.2053117107927154,True,1,1,1.817,-0.08,1121.3,-0.0004457122481725,0.39349204575445,slowdown_0_to_2,0.9999999986759344,0.0,1.0,0.0,0.0,rate_fx_relief_departure,1,0,hsi_risk_only
2019-01,risk_relief,위험 완화 우세,-0.6270322351855957,True,1,1,1.809,-0.008,1117.2,-0.0036564701685543,5.40523578560467,strong_above_3,0.9999999956027849,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2019-04,risk_relief,위험 완화 우세,-0.2301824684530554,True,1,1,1.699,0.0090000000000001,1158.2,0.0179293373176305,-8.33180736128915,contraction_below_0,0.9999999988622508,1.0,0.0,1.0,0.025,risk_departure_plus_growth_pressure,0,1,macro_risk_only
2019-05,risk_warning,위험 악화 우세,0.2228414812511003,True,1,1,1.587,-0.1120000000000001,1190.0,0.0274563978587463,-8.33180736128915,contraction_below_0,0.070952820684667,0.0,0.0,0.0,0.005,neutral,1,1,both_hsi_and_macro_risk
2019-06,risk_relief,위험 완화 우세,-0.3833472932542499,True,1,1,1.472,-0.1149999999999999,1156.8,-0.0278991596638655,-8.33180736128915,contraction_below_0,0.999999999589102,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2019-08,risk_warning,위험 악화 우세,0.1354796169161933,True,1,1,1.168,-0.1240000000000001,1215.2,0.0280879864636209,5.5452066926641095,strong_above_3,0.0534058218068747,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2019-10,risk_relief,위험 완화 우세,-0.161410906313506,True,1,1,1.466,0.169,1168.4,-0.0273869974194621,0.23501389686093,slowdown_0_to_2,0.0182059610831762,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
2019-11,neutral_watch,중립 관찰,-0.0116095811679703,True,1,1,1.385,-0.0809999999999999,1179.3,0.0093289969188632,0.23501389686093,slowdown_0_to_2,0.2681317892684061,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2019-12,risk_relief,위험 완화 우세,-0.462143038590819,True,1,1,1.36,-0.0249999999999999,1160.9,-0.0156024760451114,0.23501389686093,slowdown_0_to_2,0.999999998978874,0.0,1.0,0.0,0.0,rate_fx_relief_departure,0,0,both_relief
2020-01,accident_zone,강한 위험 구간,0.2855884380155471,True,1,1,1.303,-0.0570000000000001,1183.5,0.0194676544060641,5.93889600884103,strong_above_3,0.3672325094982994,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2020-02,accident_zone,강한 위험 구간,0.5632148026935782,True,1,1,1.104,-0.1989999999999998,1215.9,0.0273764258555133,5.93889600884103,strong_above_3,0.1244494729915911,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2020-03,accident_zone,강한 위험 구간,0.6559009123037977,True,1,1,1.07,-0.034,1222.6,0.0055103215724976,5.93889600884103,strong_above_3,0.02996684446277,0.0,0.0,0.0,0.0,neutral,1,0,hsi_risk_only
2020-04,neutral_watch,중립 관찰,-0.0337556651853427,True,1,1,1.006,-0.064,1225.2,0.0021266154097825,-9.69914361002519,contraction_below_0,0.9999999979580526,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2020-05,neutral_watch,중립 관찰,-0.1076925428525891,True,1,1,0.826,-0.18,1239.4,0.0115899444988574,-9.69914361002519,contraction_below_0,0.4990179582198793,0.0,0.0,0.0,0.005,neutral,0,1,macro_risk_only
2020-06,risk_relief,위험 완화 우세,-0.0697442309502416,True,1,1,0.842,0.016,1200.7,-0.0312247861868646,-9.69914361002519,contraction_below_0,0.6810687009693275,0.0,0.0,1.0,0.01,policy_growth_pressure,0,1,macro_risk_only
